dataset_name,resource_name,url,header_row
address-points-apn,Address points attribute table,https://seshat.datasd.org/gis_address_points_apn/addrapn_datasd.csv,"""objectid"",""addrnmbr"",""addrfrac"",""addrpdir"",""addrname"",""addrpostd"",""addrsfx"",""addrunit"",""addrzip"",""add_type"",""roadsegid"",""apn"",""asource"",""plcmt_loc"",""community"",""parcelid"",""usng"""
bike-master-plan,Bike Master Plan route lines attribute table,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_datasd.csv,"""objectid"",""class"",""classtype"""
bike-route-lines,Existing bike route lines attribute table,https://seshat.datasd.org/gis_bike_routes/bike_routes_datasd.csv,"""objectid"",""rd20full"",""length_mi"",""class"",""xstrt1"",""xstrt2"",""district"",""sapid"",""iamfloc"""
budget-reference-accounts,Accounts hierarchy,https://seshat.datasd.org/accounts_city_budget/budget_reference_accounts_datasd.csv,"""account_type"",""account_class"",""account_group"",""account"",""account_number"""
budget-reference-depts,Departments hierarchy,https://seshat.datasd.org/departments_city_budget/budget_reference_depts_datasd.csv,"""dept_group"",""dept_name"",""dept_division"",""dept_section"",""funds_center"",""funds_center_number"""
budget-reference-funds,Funds hierarchy,https://seshat.datasd.org/funds_city_budget/budget_reference_funds_datasd.csv,"""fund_type"",""fund_name"",""fund_number"""
budget-reference-projects,Project hierarchy,https://seshat.datasd.org/projects_city_budget/budget_reference_projects_datasd.csv,"""asset_owning_dept"",""project_number"",""asset_type"",""asset_subtype"",""project_name"""
business-improvement-districts,Business improvement districts attribute table,https://seshat.datasd.org/gis_business_improvement_districts/bids_datasd.csv,"""objectid"",""name"",""long_name"",""status"",""link"""
business-listings,Active certificates,https://seshat.datasd.org/business_tax_certificates/sd_businesses_active_datasd.csv,"""account_key"",""account_status"",""date_account_creation"",""date_cert_expiration"",""date_cert_effective"",""business_owner_name"",""ownership_type"",""date_business_start"",""dba_name"",""naics_sector"",""naics_code"",""naics_description"",""address_no"",""address_pd"",""address_road"",""address_sfx"",""address_no_fraction"",""address_city"",""address_state"",""address_zip"",""address_suite"",""address_pmb_box"",""address_po_box"",""bid"",""council_district"",""lat"",""lng"""
business-listings,Inactive certificates issued since 2015,https://seshat.datasd.org/business_tax_certificates/sd_businesses_inactive_2015tocurr_datasd.csv,"""account_key"",""account_status"",""date_account_creation"",""date_cert_expiration"",""date_cert_effective"",""business_owner_name"",""ownership_type"",""date_business_start"",""dba_name"",""naics_sector"",""naics_code"",""naics_description"",""address_no"",""address_pd"",""address_road"",""address_sfx"",""address_no_fraction"",""address_city"",""address_state"",""address_zip"",""address_suite"",""address_pmb_box"",""address_po_box"",""bid"",""council_district"",""lat"",""lng"""
business-listings,Inactive certificates issued 2010 to 2014,https://seshat.datasd.org/business_tax_certificates/sd_businesses_inactive_2010to2015_datasd.csv,"""account_key"",""account_status"",""date_account_creation"",""date_cert_expiration"",""date_cert_effective"",""business_owner_name"",""ownership_type"",""date_business_start"",""dba_name"",""naics_sector"",""naics_code"",""naics_description"",""address_no"",""address_pd"",""address_road"",""address_sfx"",""address_no_fraction"",""address_city"",""address_state"",""address_zip"",""address_suite"",""address_pmb_box"",""address_po_box"",""bid"",""council_district"",""lat"",""lng"""
business-listings,Inactive certificates issued 2000 to 2009,https://seshat.datasd.org/business_tax_certificates/sd_businesses_inactive_2000to2010_datasd.csv,"""account_key"",""account_status"",""date_account_creation"",""date_cert_expiration"",""date_cert_effective"",""business_owner_name"",""ownership_type"",""date_business_start"",""dba_name"",""naics_sector"",""naics_code"",""naics_description"",""address_no"",""address_pd"",""address_road"",""address_sfx"",""address_no_fraction"",""address_city"",""address_state"",""address_zip"",""address_suite"",""address_pmb_box"",""address_po_box"",""bid"",""council_district"",""lat"",""lng"""
business-listings,Inactive certificates issued 1990 to 1999,https://seshat.datasd.org/business_tax_certificates/sd_businesses_inactive_1990to2000_datasd.csv,"""account_key"",""account_status"",""date_account_creation"",""date_cert_expiration"",""date_cert_effective"",""business_owner_name"",""ownership_type"",""date_business_start"",""dba_name"",""naics_sector"",""naics_code"",""naics_description"",""address_no"",""address_pd"",""address_road"",""address_sfx"",""address_no_fraction"",""address_city"",""address_state"",""address_zip"",""address_suite"",""address_pmb_box"",""address_po_box"",""bid"",""council_district"",""lat"",""lng"""
candidates-and-ballot-measures-election,Candidates and Ballot Measures,https://seshat.datasd.org/election_committees/financial_support_recipients_datasd.csv,"recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose"
capital-actuals-fy,CIP Actuals,https://seshat.datasd.org/cip_fy_actuals/actuals_capital_fy_datasd.csv,"""amount"",""project_number_parent"",""project_number_child"",""report_fy"",""fund_type"",""fund_number"",""asset_owning_dept"",""project_name"",""account"",""account_number"""
capital-actuals-ptd,Project-to-date CIP Actuals,https://seshat.datasd.org/cip_ptd_actuals/actuals_capital_ptd_datasd.csv,"""amount"",""project_number_parent"",""project_number_child"",""fiscal_year"",""report_fy"",""fund_type"",""fund_number"",""asset_owning_dept"",""project_name"",""account"",""account_number"""
capital-budget-fy,CIP Budget,https://seshat.datasd.org/cip_fy_budget/budget_capital_fy_datasd.csv,"""amount"",""project_number"",""report_fy"",""budget_cycle"",""fund_type"",""fund_number"",""asset_owning_dept"",""project_name"",""account"",""account_number"""
capital-budget-ptd,Project-to-date CIP Budget,https://seshat.datasd.org/cip_ptd_budget/budget_capital_ptd_datasd.csv,"""amount"",""project_number_parent"",""project_number_child"",""fiscal_year"",""report_fy"",""fund_type"",""fund_number"",""asset_owning_dept"",""project_name"",""account"",""account_number"""
city-council-districts,City Council districts attribute table,https://seshat.datasd.org/gis_city_council_districts/council_districts_datasd.csv,"""objectid"",""district"""
city-owned-properties-details,City Owned Properties - Details,https://seshat.datasd.org/city_owned_properties/city_property_details_datasd.csv,"""site_code"",""file_code"",""grantor"",""month_acquired"",""year_acquired"",""purchase_fund"",""land_cost"",""building_cost"",""closing_cost"",""site_name"",""managing_group"",""managing_dept"",""designated_use"",""site_acres"",""file_acres"",""original_acres"",""dedicated_park"",""water_use"",""use_restrictions"",""desig_reso_ord"",""date_reso_ord"""
city-owned-properties-leases,City Owned Properties - Leases,https://seshat.datasd.org/city_owned_properties_leases/city_property_leases_datasd.csv,"""site_code"",""lessee_name"",""lessee_company"",""lessee_DBA"",""address_zip"",""lease_record_type"",""lease_description"",""lease_status"",""lease_location_name"",""nonprofit_lessee"",""date_effective"",""date_sched_termination"",""rent_code"",""cost_line_amt_USD"""
city-owned-properties-parcels,City Owned Properties - Parcels,https://seshat.datasd.org/city_owned_properties_parcels/city_property_parcels_datasd.csv,"""site_code"",""APN-8"""
code-enforcement-violations,Code Enforcement Cases 2015 through 2018,https://seshat.datasd.org/code_enforcement_violations/code_enf_past_3_yr_datasd.csv,"case_id,apn,address_street,case_source,description,date_open,date_closed,close_reason,close_note,lat,lng,nad83_northing,nad83_easting,workgroup,investigator_name,investigator_phone_number,investigator_email_address,investigator_active,last_action,date_last_action_due,remedy_msg"
code-enforcement-violations,Complaint Type Codes,https://seshat.datasd.org/code_enforcement_violations/complaint_types_datasd.csv,"Complaint Type ID,Complaint Type"
code-enforcement-violations,Code Enforcement Remedies,https://seshat.datasd.org/code_enforcement_violations/code_enf_remedies_datasd.csv,"RemedySequence,REMEDY_TYPE_ID,Remedy,ActionSequence,Action_Type_ID,Action"
community-block-grants,Census tracts eligible for CDBG attribute table,https://seshat.datasd.org/gis_cdbg_census_tracts/block_grants_datasd.csv,"""objectid"",""statefp"",""countyfp"",""tractce"",""blkgrpce"",""geoid"",""geoname"",""low"",""lowmod"",""lmmi"",""lowmoduniv"",""lowmod_pct"",""low_pct"",""lmmi_pct"",""total_pop"",""tot_units"",""occ_units"",""vac_units"""
community-planning-district-boundaries,Community planning districts attribute table,https://seshat.datasd.org/gis_community_planning_districts/cmty_plan_datasd.csv,"""objectid"",""cpcode"",""cpname"",""acreage"""
crb-cases,Cases FY25,https://seshat.datasd.org/cpp_complaints_evaluated/2025_crb_cases_datasd.csv,"id,case_number,date_assigned,date_completed,date_presented,days_number,days_30_or_less,days_60_or_less,90_days_or_less,120_days_or_less,changes,incident_address,pd_division,pretext_stop,vehicle_persuit,beat,council_district"
crb-cases,Allegations FY25,https://seshat.datasd.org/cpp_complaints_allegations/2025_crb_allegations_datasd.csv,"""id"",""case_number"",""allegation"",""ia_finding"",""crb_decision"",""vote"",""unanimous_vote"",""pid"""
crb-cases,Body worn camera details FY25,https://seshat.datasd.org/cpp_complaints_body_worn_camera/2025_crb_cases_bwc_datasd.csv,"id,case_number,bwc_on,pid,ia_investigate_bwc_non-compliance"
