dataset_name,title,department,categories,resource_name,resource_url,resource_format,date_modified
address-points-apn,Address Points to APN,SanGIS,GIS,Address points,https://seshat.datasd.org/gis_address_points_apn/addrapn_datasd.zip,shp,2026-03-03
address-points-apn,Address Points to APN,SanGIS,GIS,Address points,https://seshat.datasd.org/gis_address_points_apn/addrapn_datasd.topo.json,topojson,2026-03-03
address-points-apn,Address Points to APN,SanGIS,GIS,Address points,https://seshat.datasd.org/gis_address_points_apn/addrapn_datasd.geojson,geojson,2026-03-03
address-points-apn,Address Points to APN,SanGIS,GIS,Address points attribute table,https://seshat.datasd.org/gis_address_points_apn/addrapn_datasd.csv,csv,2026-03-03
address-points-apn,Address Points to APN,SanGIS,GIS,Address points dictionary,https://seshat.datasd.org/gis_address_points_apn/address_apn_dictionary_datasd.csv,csv,2026-03-03
bike-master-plan,Bike Master Plan,Planning,GIS;Transportation;Energy & Environment,Bike Master Plan route lines,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_datasd.zip,shp,2026-03-03
bike-master-plan,Bike Master Plan,Planning,GIS;Transportation;Energy & Environment,Bike Master Plan route lines,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_datasd.topo.json,topojson,2026-03-03
bike-master-plan,Bike Master Plan,Planning,GIS;Transportation;Energy & Environment,Bike Master Plan route lines,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_datasd.geojson,geojson,2026-03-03
bike-master-plan,Bike Master Plan,Planning,GIS;Transportation;Energy & Environment,Bike Master Plan route lines attribute table,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_datasd.csv,csv,2026-03-03
bike-master-plan,Bike Master Plan,Planning,GIS;Transportation;Energy & Environment,Bike Master Plan route lines dictionary,https://seshat.datasd.org/gis_bike_master_plan/bike_master_plan_dictionary_datasd.csv,csv,2026-03-03
bike-route-lines,Bike route lines,Transportation,GIS;Transportation;Energy & Environment,Existing bike route lines,https://seshat.datasd.org/gis_bike_routes/bike_routes_datasd.zip,shp,2026-03-03
bike-route-lines,Bike route lines,Transportation,GIS;Transportation;Energy & Environment,Existing bike route lines,https://seshat.datasd.org/gis_bike_routes/bike_routes_datasd.topo.json,topojson,2026-03-03
bike-route-lines,Bike route lines,Transportation,GIS;Transportation;Energy & Environment,Existing bike route lines,https://seshat.datasd.org/gis_bike_routes/bike_routes_datasd.geojson,geojson,2026-03-03
bike-route-lines,Bike route lines,Transportation,GIS;Transportation;Energy & Environment,Existing bike route lines attribute table,https://seshat.datasd.org/gis_bike_routes/bike_routes_datasd.csv,csv,2026-03-03
bike-route-lines,Bike route lines,Transportation,GIS;Transportation;Energy & Environment,Existing bike route lines dictionary,https://seshat.datasd.org/gis_bike_routes/bike_routes_dictionary_datasd.csv,csv,2026-03-03
budget-reference-accounts,Accounts in the City's annual budget,Department of Finance,City Management,Accounts hierarchy,https://seshat.datasd.org/accounts_city_budget/budget_reference_accounts_datasd.csv,csv,2025-07-25
budget-reference-accounts,Accounts in the City's annual budget,Department of Finance,City Management,Accounts hierarchy dictionary,https://seshat.datasd.org/accounts_city_budget/budget_reference_accounts_dictionary_datasd.csv,csv,2025-07-25
